date,title,viewCount,likeCount,dislikeCount,commentCount
2019-09-02,"LYRICAL: Main Agar Kahoon | Om Shanti Om | Shahrukh Khan,Deepika Padukone | Sonu Nigam,Shreya Ghosal",4671637,56258,1979,1719
2019-09-07,Full Audio: Gur Nalo Ishq Mitha (The YOYO Remake)| Yo Yo Honey Singh | Malkit Singh The Golden Star,209646,6447,453,423
2019-09-12,Top 10 Romantic Hindi Songs 2019 - Video Jukebox | New Hindi Love Songs | BOLLYWOOD ROMANTIC JUKEBOX,7608949,41676,5151,1387
2019-09-17,"Full Song: Woh Din Film Version | Chhichhore | Sushant,Shraddha | Pritam | Amitabh | Tushar Joshi",3730431,50838,1384,1174
2019-09-30,Official Trailer: Bypass Road | Neil Nitin Mukesh | Adah Sharma | 8 November,18072585,152002,6665,4357
2019-10-05,"Streets To Street Dancer: Sushant Pujari | Episode 2 | Varun Dhawan, Shraddha Kapoor, Remo D&#39;souza",642291,16752,627,499
2019-10-06,"Marjaavaan (Dialogue Promo 7) | Riteish D, Sidharth M, Tara S | Milap Zaveri | 15 Nov",504738,11844,795,538
2019-10-11,Full Song: Jaago Narsimha Jaago Re | Chiranjeevi | Amitabh Bachchan | Ram Charan | Amit Trivedi,59409,917,79,127
2019-10-13,Lyrical: Dard | Babbu Maan | New Song 2019 | T-Series,485183,11041,1043,849
2019-10-14,"DAAKA: Koi Aaye Na Rabba Video Song | Gippy Grewal, Zareen Khan | Rochak Feat. B Praak | Kumaar",4254787,65300,2351,1981
2019-10-22,"Phulkari Lyrical | Daaka | Gippy Grewal, Zareen Khan |  Payal Dev | Shah &amp; Shah",320521,6646,560,414
2019-10-23,"Badla Full Audio | Housefull 4 | Akshay K, Riteish D, Bobby D, Kriti S, Pooja, Kriti K |Farhad Samji",897529,13275,1156,614
2019-10-31,"Tere Sang Video | Satellite Shankar | Sooraj, Megha | Mithoon Featuring Arijit Singh Aakanksha S",4645985,88385,2436,3042
2019-11-10,"Marjaavaan (Dialogue Promo 12) | Riteish D, Sidharth M, Tara S | Milap Zaveri | 15 Nov",3822008,70948,2085,1816
2019-11-11,"Dabangg 3: Munna Badnaam Hua | Salman Khan,Sonakshi S,Saiee M| Badshah,Kamaal K,Mamta S |Sajid Wajid",12029804,234906,19184,13863
2019-11-12,"Lyrical: Tere Sang | Satellite Shankar | Sooraj, Megha | Mithoon Featuring Arijit Singh Aakanksha S",205111,4078,360,305
2019-11-25,"Making of Enni Soni/Crazy Habibi Ep 2 | Guru Randhawa,Tulsi Kumar |T-Series Mixtape Punjabi Season 2",169770,4808,140,185
2019-11-27,"Full Audio: Tum Hi Aana (Happy Version) | Riteish D, Sidharth M, Tara S | Jubin Nautiyal, Payal Dev",1334242,40472,504,885
2019-12-06,"Full Video:Tum Hi Aana (Duet Version)| Riteish D,Sidharth M,Tara S|Jubin Nautiyal, Dhvani Bhanushali",8220791,96863,3987,2855
2019-12-09,"Marathi Teaser - Tanhaji: The Unsung Warrior | Ajay D, Kajol, Saif Ali K | Om Raut",426678,14938,542,699
2019-12-16,Baby Doll/Chittiyaan Kalaiyaan Ep 8★Jonita Gandhi &amp;Meet Bros |Mixtape Punjabi Season 2 Radhika&amp;Vinay,1974029,21198,1437,716
2019-12-16,"Full Video:Ankhiyon Se Goli Mare | Pati Patni Aur Woh | Kartik A, Bhumi P, Ananya P |Mika S, Tulsi K",18927552,99303,14621,1938
2019-12-24,"Street Dancer 3D: Love Thy Neighbour (Promo 2) Varun D, Shraddha K, Prabhdeva, Nora F | Remo D",1263526,28831,1532,960
2019-12-30,"Khuda Haafiz Full Video | The Body | Rishi K, Emraan H, Sobhita,Vedhika |  Arijit Singh, Arko,",1357815,27680,863,1205
2019-12-31,"LYRICAL: Itna Pyaar Karo | The Body | Rishi K, Emraan H, Sobhita, Vedhika | Shreya G, Shamir Tandon",716543,14466,1273,924
2020-01-07,"Making of Garmi Song | Street Dancer 3D | Varun D, Nora F, Shraddha K, Badshah, Neha K | Remo D",12790402,121449,6415,1747
2020-01-13,"Teri Lod Nahi/ Rabba ★ Ep - 11 | Asees Kaur, Inder Chahal | Mixtape Punjabi Season 2| Radhika&amp;Vinay",898409,24823,754,903
2020-01-14,"Full Audio: Manney Ignore Kar Rahi |  Jai Mummy Di | Sunny S, Sonnalli S| Amitabh Bhattacharya",137127,917,228,84
2020-01-14,"Tanhaji: The Unsung Warrior | Mitti Ki Azadi | Ajay D, Kajol, Saif Ali K | Om Raut | In Cinemas Now",443685,6279,291,265
2020-01-20,"Shubh Mangal Zyada Saavdhan Trailer | Ayushmann Khurrana, Neena G, Gajraj R, Jitu K|21 February 2020",55010178,715327,52461,33528
2020-01-27,Pyaar Tenu Karda Gabru | Shubh Mangal Zyada Saavdhan | Ayushmann K Jeetu |Yo Yo Honey SinghTanishk B,25687443,220272,13697,8158
2020-01-30,"Atrangi Re | Announcement | Aanand L Rai | AR Rahman | Akshay Kumar, Sara Ali Khan, Dhanush",3638501,36993,1444,2042
2020-02-04,"Full Video: &quot;Dua Karo&quot; | Street Dancer 3D | Varun D,Shraddha K | Arijit Singh, Bohemia, Sachin-Jigar",8041991,75440,3243,1479
2020-02-05,"LYRICAL: Humraah | Malang | Aditya R K, Disha P Anil K Kunal K | Sachet T | Mohit S",10344199,64136,2827,1340
2020-02-05,"Ek Tukda Dhoop | THAPPAD | Taapsee Pannu | Raghav Chaitanya | Anurag Saikia - Taapsee Pannu,",8529076,86737,5805,3369
2020-02-05,"Malang - Anil Kapoor As Anjaney Agashe | Aditya R K, Disha P, Anil K, Kunal K | Mohit S | 7th Feb",203175,3787,167,164
2020-02-14,“Kaise move on Karu?” | Thappad | Taapsee Pannu | Anubhav Sinha | Bhushan Kumar | 28th February 2020,177795,4045,277,363
2020-02-15,"Humraah Full Song | Malang | Aditya R K, Disha P Anil K Kunal K | Sachet T | Mohit S | Fusion P",11709028,73927,2735,1484
2020-02-15,"Lyrical: Yaad Piya Ki Aane Lagi | Divya Khosla Kumar | Neha K,Tanishk B,Jaani, Faisu | Bhushan Kumar",5158812,30778,3655,945
2020-02-17,"Nachi Nachi Making| Street Dancer 3D | Varun D,Shraddha K,Nora F| Neeti M,Dhvani B,Millind G",2897666,30691,1393,774
2020-02-20,"Ek Zindagi | Angrezi Medium | Irrfan, Radhika M, Kareena K,Deepak D | Tanishkaa, Sachin-Jigar",21142369,171393,8699,5711
2020-02-21,"Full Video: Hui Malang | MALANG | Aditya R K, Disha P, Anil K, Kunal K | Asees Kaur | Ved Sharma",3518324,37512,2454,1070
2020-02-26,"Kya Karte The Saajna |Shubh Mangal Zyada Saavdhan |Ayushmann K,Jeetu | Tanishk B, Zara K, Anuradha P",3002914,52080,2628,1848
2020-02-29,"BHANKAS Audio | Baaghi 3 | Tiger S, Shraddha K | Bappi Lahiri,Dev Negi,Jonita G|Tanishk B",225293,2436,613,446
2020-03-06,"Full Video:Ooh La La | Shubh Mangal Zyada Saavdhan |Ayushmann K, Jeetu | Sonu Kakkar, Neha K, Tony K",1641726,19022,1455,1235
2020-03-07,"Full Audio: Get Ready to Fight Reloaded | Baaghi 3 | Tiger, Shraddha| Pranaay, Siddharth Basrur",371100,6260,450,332
